Model,accuracy,precision,recall,f1,auc
Naive_Bayes,0.4413793103448276,0.5578526442560698,0.6214349397878809,0.40058689194401553,0.7378937130407719
RandomForest,0.886206896551724,0.443103448275862,0.5,0.46973719281058735,0.8252353060882471
SVM,0.8862068965517242,0.6459424423126782,0.525462962962963,0.520380467545005,0.8225673944791592
LogisticRegression,0.8896551724137931,0.5446763460375075,0.5166666666666667,0.4991760108732586,0.8178667073667075
LSTM,0.8827586206896552,0.44298245614035087,0.4981481481481481,0.4688041168775114,0.7470383897148604
BiLSTM,0.8896551724137931,0.544615849969752,0.5125,0.49282476636545053,0.7520768273121214
GRU,0.8793103448275861,0.4428571428571428,0.4962962962962963,0.4678540759274704,0.7144578395460749
Ensemble,0.8846125730994152,0.4423062865497076,0.5,0.46938691523400927,0.8413122824887531
